0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
help,-0.380795,0.382294,-0.449083,1.506473,0.272973,-0.103078,-0.784978,1.387441,-1.125113,-0.942026,0.142646,-0.13277,-0.255083,0.192432,-0.482647,-1.560817,1.393812,1.163212,0.006319,0.575461
make,-0.222829,0.172439,0.451099,1.6638,0.498594,-0.143106,-0.940947,0.541748,-1.657545,-1.217709,-0.266058,1.245637,0.111691,-0.777307,-0.424248,-0.903772,0.682931,0.948909,0.310691,0.350905
student,-0.2618,0.36489,-0.28655,0.892199,-0.10342,-1.120659,-0.210943,0.466649,-1.36433,-0.794466,-0.128178,-0.892436,0.589568,-0.645084,0.051716,-1.406592,1.632372,0.754255,0.025051,0.607834
take,-0.244717,0.360474,1.114708,0.72256,0.850397,0.281419,-0.642776,2.143947,-1.437876,-1.596423,-1.157459,1.067542,-0.912202,-0.938409,-0.15099,-0.205972,0.461471,0.306638,0.77163,-0.02067
better,0.479332,0.315718,-0.617588,0.669131,0.113817,0.256747,-0.02837,1.836998,-1.891157,-0.598193,0.252794,0.817545,-0.382057,0.12551,-0.121665,-1.520575,0.753766,0.877163,-0.285069,0.103989
paus,-0.70911,0.659684,1.520685,1.858082,0.628633,0.811408,-0.826145,1.267629,-1.184226,-1.246044,-1.326214,0.427388,-1.456977,-1.209013,0.310576,-0.429429,-0.800581,0.101873,1.655414,0.066513
need,-0.62802,0.695114,0.492726,0.802213,-0.430226,-0.12167,-1.184467,1.917318,-0.748609,-1.140013,-0.520516,0.243835,-1.066197,-0.920392,-0.554487,-0.296582,0.588194,0.505514,0.942264,-0.143081
video,-0.212031,0.708064,0.596148,1.365795,0.404733,-0.148931,-1.32597,1.8099,-1.768547,-0.795397,-1.653008,0.089506,-0.599609,-0.910825,0.456373,0.171498,-0.089235,-0.010723,-0.062307,-0.895697
lesson,-0.922781,-0.200481,0.07536,0.417381,-0.61338,0.072029,-1.520348,0.362923,-1.809428,-0.864122,0.132896,0.842974,0.105581,-0.877156,0.167058,-0.765124,0.930329,0.884717,-0.201317,-0.331195
would,-0.400284,-0.421567,-0.360641,0.363941,0.026145,-0.179347,-1.441655,0.857548,-1.942784,-0.85818,-0.07943,0.420361,0.224439,-0.725909,0.602045,-0.598514,1.338363,0.912044,-1.060834,-0.398331
explain,0.7006,0.576201,-0.249063,0.391188,-1.170251,0.736465,-0.73205,2.510141,-1.172825,-0.006027,0.672885,0.585578,-1.229445,0.566963,0.592288,-1.634853,0.811487,1.585539,0.139926,-0.176648
give,-1.76419,0.539068,-0.993772,1.157902,-0.116759,-0.097173,-0.325503,-0.092857,-1.638065,-1.09783,0.534846,-0.399389,0.029889,-0.508582,-0.68783,-0.971916,1.495054,0.970669,0.988505,0.009512
way,0.297795,-0.359352,0.049324,-0.079583,-0.328978,0.375539,-0.382048,1.162806,-1.715549,-0.892181,0.155483,1.135782,-0.0777,-0.554222,-0.471591,-1.510718,0.752247,0.516582,-0.319998,0.381608
real,-0.487608,-0.649327,0.849697,-0.530953,-1.719543,-1.097814,-1.457931,-0.196308,-0.584913,-0.211168,0.777483,0.604343,0.436504,-1.497396,0.509877,-1.833103,1.425735,1.215543,0.03129,0.450219
note,0.317935,0.665681,1.223796,1.1317,0.843066,0.868625,-0.691579,1.837875,-1.364836,-1.34396,-0.799557,0.442532,-1.33692,-0.729776,0.226461,0.064854,-0.223923,0.421257,1.008278,-0.217
back,-0.612756,0.844347,0.72456,0.852195,-0.399948,1.345486,-1.2783,1.302281,-0.32003,-0.233495,-0.330946,-0.185998,-0.990313,-2.218286,0.563026,-0.246923,-0.411728,0.593615,2.050949,-0.897059
want,-1.725247,-0.101145,0.184456,0.403452,-0.819547,-0.10443,-0.53513,1.666124,-1.713291,-1.076551,-0.854341,0.625694,-1.044,-1.292515,-0.62073,0.111205,-0.140699,-0.677933,0.36646,0.007929
much,0.659156,0.054951,0.329046,0.438168,0.195896,-0.028173,-0.5501,1.175795,-1.624896,-1.446671,0.374588,1.701589,0.061434,-0.862601,-0.901202,-0.5623,0.812212,0.596429,-0.331022,-0.459199
content,-0.295139,0.879539,-0.450675,0.617001,-0.047196,1.031202,-0.328619,1.657075,-1.166286,-0.162171,0.444607,0.832275,-0.162338,0.220266,-0.042409,-1.230134,0.606391,1.276643,0.665573,-0.174504
normal,-1.409119,-0.930981,0.040151,-0.078553,-0.974365,-0.47246,-1.321195,-1.341356,-1.783996,-0.573267,0.678738,1.239061,0.258989,-0.59012,0.173623,-1.136349,0.512385,1.02491,-0.516473,-0.558094
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
zoom,0.270454,-0.022742,-0.220509,-0.286941,0.539364,-0.947952,-1.526932,1.030774,-1.276146,-0.729365,-1.744391,0.207928,0.879721,-1.661109,0.159985,0.008189,1.052396,0.512026,-0.539828,-1.033395
thing,-0.027533,0.103269,0.077025,-0.003114,-0.929999,0.753192,-1.090698,1.517408,-0.49893,0.204336,0.054683,1.36609,-0.475849,-1.12608,0.404668,-1.643215,0.11447,1.150805,0.49134,-0.009916
onlin,0.224598,-0.390168,-0.305119,-0.359951,-0.070626,-0.517994,-1.146389,1.133362,-1.334144,-0.448234,-1.03228,0.666507,0.573159,-1.112067,0.2428,-0.232922,0.883331,0.529747,-1.014224,-0.556353
don’t,-0.565761,0.432953,0.244362,0.85346,-0.765442,-0.180893,-1.574533,1.461368,-0.540833,-0.048228,-0.35515,1.267128,0.085999,-1.166691,-0.07954,-0.423458,0.36232,0.957633,0.654351,-0.662451
email,-0.241659,0.899999,-0.107176,-0.344795,-0.681315,0.291889,-2.001378,1.659231,-0.755114,-0.813308,0.322363,-0.373162,-0.077082,0.204967,-0.449188,1.181429,1.727579,1.33297,0.353369,-1.474487
find,1.207477,0.025036,-0.158213,0.457475,1.345985,0.264853,-0.856225,1.846044,-0.885039,-0.697457,-0.64436,1.314789,0.469804,-0.917022,-0.125392,-0.774819,0.465417,0.553216,-0.817365,-0.034688
see,0.040283,-0.640406,0.873143,1.402563,-0.958184,-0.659669,-0.992029,0.196773,-1.450912,-0.11717,-0.209128,-0.237379,-0.896481,0.38993,1.15533,-1.459333,1.21872,0.659556,-0.369771,1.596222
teach,0.090989,-0.12726,-0.125072,-0.640407,-0.996805,0.072934,-0.728308,0.79397,-1.768644,-0.434412,0.379635,0.906049,0.327795,0.023569,0.405829,-1.257381,0.580475,1.050912,-0.744507,-0.858617
still,-1.105739,-0.00064,-0.120197,0.779996,-0.563902,0.184277,-0.584349,0.137912,-1.49583,-0.395778,-0.295774,0.458161,-0.246872,0.229946,0.224602,-1.087409,1.269382,1.095796,0.296928,0.708801
